Name,id,nametype,Type of meteorite,Class of meteorite,Mass in gramms,fall,Fell or found ?,Year,reclat,reclong,GeoLocation
Emmaville,10033,Valid,Typical meteorite,Eucrite-mmict,127,Fell,Fell: the meteorite's fall was observed ,1900,-29.466670,151.616670,"(-29.466670, 151.616670)"
Forsbach,10163,Valid,Typical meteorite,H6,240,Fell,Fell: the meteorite's fall was observed ,1900,50.950000,7.316670,"(50.950000, 7.316670)"
Leonovka,12765,Valid,Typical meteorite,L6,700,Fell,Fell: the meteorite's fall was observed ,1900,52.266670,32.850000,"(52.266670, 32.850000)"
Felix,10081,Valid,Typical meteorite,CO3.3,3200,Fell,Fell: the meteorite's fall was observed ,1900,32.533330,-87.166670,"(32.533330, -87.166670)"
Ofehértó,17990,Valid,Typical meteorite,L6,3750,Fell,Fell: the meteorite's fall was observed ,1900,47.883330,22.033330,"(47.883330, 22.033330)"
Alexandrovsky,465,Valid,Typical meteorite,H4,9251,Fell,Fell: the meteorite's fall was observed ,1900,50.950000,31.816670,"(50.950000, 31.816670)"
N'Goureyma,16968,Valid,Typical meteorite,"Iron, ungrouped",37500,Fell,Fell: the meteorite's fall was observed ,1900,13.850000,-4.383330,"(13.850000, -4.383330)"
Ovambo,18055,Valid,Typical meteorite,L6,121.5,Fell,Fell: the meteorite's fall was observed ,1900,-18.000000,16.000000,"(-18.000000, 16.000000)"
Selcany,23482,Valid,Typical meteorite,Iron,20,Found,Found: the meteorite's fall was not observed,1900,49.750000,14.416670,"(49.750000, 14.416670)"
Karagai,12255,Valid,Typical meteorite,L6,115,Found,Found: the meteorite's fall was not observed,1900,51.116670,57.916670,"(51.116670, 57.916670)"
Boogaldi,5107,Valid,Typical meteorite,"Iron, IVA",2000,Found,Found: the meteorite's fall was not observed,1900,-31.150000,149.116670,"(-31.150000, 149.116670)"
Kansas University,12249,Valid,Typical meteorite,L6,2800,Found,Found: the meteorite's fall was not observed,1900,,,
Rhine Villa,22594,Valid,Typical meteorite,"Iron, IIIE",3325,Found,Found: the meteorite's fall was not observed,1900,-34.666670,139.283330,"(-34.666670, 139.283330)"
La Porte,12401,Valid,Typical meteorite,"Iron, IIIAB",14540,Found,Found: the meteorite's fall was not observed,1900,41.600000,-86.716670,"(41.600000, -86.716670)"
Cedar (Texas),5303,Valid,Typical meteorite,H4,26000,Found,Found: the meteorite's fall was not observed,1900,29.828060,-96.908610,"(29.828060, -96.908610)"
Norin-Shibir,16995,Valid,Typical meteorite,"Iron, ungrouped",3.5,Found,Found: the meteorite's fall was not observed,1900,51.850000,107.916670,"(51.850000, 107.916670)"
Sterling,23723,Valid,Typical meteorite,Pallasite,679.5,Found,Found: the meteorite's fall was not observed,1900,40.600000,-103.183330,"(40.600000, -103.183330)"
Jemlapur,12079,Valid,Typical meteorite,L6,450,Fell,Fell: the meteorite's fall was observed ,1901,,,
Chervettaz,5341,Valid,Typical meteorite,L5,705,Fell,Fell: the meteorite's fall was observed ,1901,46.550000,6.816670,"(46.550000, 6.816670)"
Sindhri,23611,Valid,Typical meteorite,H5,8400,Fell,Fell: the meteorite's fall was observed ,1901,26.216670,69.550000,"(26.216670, 69.550000)"
Hvittis,11989,Valid,Typical meteorite,EL6,14000,Fell,Fell: the meteorite's fall was observed ,1901,61.183330,22.683330,"(61.183330, 22.683330)"
Phillips County (stone),18808,Valid,Typical meteorite,L6,57900,Fell,Fell: the meteorite's fall was observed ,1901,40.000000,-99.250000,"(40.000000, -99.250000)"
Gay Gulch,10867,Valid,Typical meteorite,"Iron, IAB-sHH",483,Found,Found: the meteorite's fall was not observed,1901,63.916670,-139.333330,"(63.916670, -139.333330)"
Paulding County,18172,Valid,Typical meteorite,Iron,725,Found,Found: the meteorite's fall was not observed,1901,34.000000,-84.800000,"(34.000000, -84.800000)"
Hendersonville,11873,Valid,Typical meteorite,L5,6000,Found,Found: the meteorite's fall was not observed,1901,35.316670,-81.466670,"(35.316670, -81.466670)"
