Name,id,nametype,Type of meteorite,Class of meteorite,Mass in gramms,fall,Fell or found ?,Year,reclat,reclong,GeoLocation
Garland,10861,Valid,Typical meteorite,Diogenite-pm,102,Fell,Fell: the meteorite's fall was observed ,1950,41.683330,-112.133330,"(41.683330, -112.133330)"
Thal,23908,Valid,Typical meteorite,H6,342,Fell,Fell: the meteorite's fall was observed ,1950,33.400000,70.600000,"(33.400000, 70.600000)"
Geidam,10870,Valid,Typical meteorite,H5,725,Fell,Fell: the meteorite's fall was observed ,1950,12.916670,11.916670,"(12.916670, 11.916670)"
Madhipura,15379,Valid,Typical meteorite,L,1000,Fell,Fell: the meteorite's fall was observed ,1950,25.916670,86.366670,"(25.916670, 86.366670)"
St. Louis,23089,Valid,Typical meteorite,H4,1000,Fell,Fell: the meteorite's fall was observed ,1950,38.700000,-90.233330,"(38.700000, -90.233330)"
Patrimonio,18116,Valid,Typical meteorite,L6,2121,Fell,Fell: the meteorite's fall was observed ,1950,-19.533330,-48.566670,"(-19.533330, -48.566670)"
Monte das Fortes,16725,Valid,Typical meteorite,L5,4885,Fell,Fell: the meteorite's fall was observed ,1950,38.016670,-8.250000,"(38.016670, -8.250000)"
Arroyo Aguiar,2340,Valid,Typical meteorite,H5,7450,Fell,Fell: the meteorite's fall was observed ,1950,-31.416670,-60.666670,"(-31.416670, -60.666670)"
Vengerovo,24158,Valid,Typical meteorite,H5,10800,Fell,Fell: the meteorite's fall was observed ,1950,56.133330,77.266670,"(56.133330, 77.266670)"
Murray,16882,Valid,Typical meteorite,CM2,12600,Fell,Fell: the meteorite's fall was observed ,1950,36.600000,-88.100000,"(36.600000, -88.100000)"
Tromøy,24053,Valid,Typical meteorite,H,357.4,Fell,Fell: the meteorite's fall was observed ,1950,58.473330,8.866670,"(58.473330, 8.866670)"
Monze,16733,Valid,Typical meteorite,L6,,Fell,Fell: the meteorite's fall was observed ,1950,-15.966670,27.350000,"(-15.966670, 27.350000)"
Holliday,11897,Valid,Typical meteorite,Iron,12,Found,Found: the meteorite's fall was not observed,1950,33.750000,-98.833330,"(33.750000, -98.833330)"
Barcis,4945,Valid,Typical meteorite,"Pallasite, PMG",87,Found,Found: the meteorite's fall was not observed,1950,46.100000,12.350000,"(46.100000, 12.350000)"
El Paso,7812,Valid,Typical meteorite,LL4,276,Found,Found: the meteorite's fall was not observed,1950,31.783330,-106.233330,"(31.783330, -106.233330)"
Nieder Finow,16971,Valid,Typical meteorite,"Iron, IAB complex",287,Found,Found: the meteorite's fall was not observed,1950,52.833330,13.933330,"(52.833330, 13.933330)"
Nuevo Laredo,17937,Valid,Typical meteorite,Eucrite-mmict,500,Found,Found: the meteorite's fall was not observed,1950,27.500000,-99.500000,"(27.500000, -99.500000)"
Muckera 001,16821,Valid,Typical meteorite,Howardite,513,Found,Found: the meteorite's fall was not observed,1950,-30.083330,130.033330,"(-30.083330, 130.033330)"
Bealiba,4981,Valid,Typical meteorite,L6,652,Found,Found: the meteorite's fall was not observed,1950,-36.800000,143.550000,"(-36.800000, 143.550000)"
Miller (Kansas),16646,Valid,Typical meteorite,H4,970,Found,Found: the meteorite's fall was not observed,1950,38.625000,-96.022780,"(38.625000, -96.022780)"
Gahanna,10842,Valid,Typical meteorite,"Iron, IAB-MG",1201,Found,Found: the meteorite's fall was not observed,1950,40.016670,-82.866670,"(40.016670, -82.866670)"
Santa Rosalia,23168,Valid,Typical meteorite,"Pallasite, PMG",1631,Found,Found: the meteorite's fall was not observed,1950,27.333330,-112.333330,"(27.333330, -112.333330)"
Plainview (1950),18842,Valid,Typical meteorite,H,2200,Found,Found: the meteorite's fall was not observed,1950,34.116670,-101.783330,"(34.116670, -101.783330)"
Kuga,12367,Valid,Typical meteorite,"Iron, IIIAB",5600,Found,Found: the meteorite's fall was not observed,1950,34.100000,132.083330,"(34.100000, 132.083330)"
Haven,11858,Valid,Typical meteorite,H6,6100,Found,Found: the meteorite's fall was not observed,1950,37.964170,-97.755830,"(37.964170, -97.755830)"
Keen Mountain,12271,Valid,Typical meteorite,"Iron, IIAB",6690,Found,Found: the meteorite's fall was not observed,1950,37.216670,-82.000000,"(37.216670, -82.000000)"
Clinton,5381,Valid,Typical meteorite,Iron,7700,Found,Found: the meteorite's fall was not observed,1950,36.083330,-84.200000,"(36.083330, -84.200000)"
Melvern Lake,15477,Valid,Typical meteorite,H5,7746,Found,Found: the meteorite's fall was not observed,1950,38.525000,-95.780560,"(38.525000, -95.780560)"
Kingfisher,12317,Valid,Typical meteorite,L5,8180,Found,Found: the meteorite's fall was not observed,1950,35.833330,-97.933330,"(35.833330, -97.933330)"
Withrow,24320,Valid,Typical meteorite,"Iron, IIIAB?",8732,Found,Found: the meteorite's fall was not observed,1950,47.706670,-119.830000,"(47.706670, -119.830000)"
Barwise,4955,Valid,Typical meteorite,H5,10400,Found,Found: the meteorite's fall was not observed,1950,34.000000,-101.500000,"(34.000000, -101.500000)"
Densmore (1950),6657,Valid,Typical meteorite,H6,11300,Found,Found: the meteorite's fall was not observed,1950,39.565830,-99.647220,"(39.565830, -99.647220)"
Hammond Downs,11814,Valid,Typical meteorite,H4,27000,Found,Found: the meteorite's fall was not observed,1950,-25.466670,142.800000,"(-25.466670, 142.800000)"
Belle Plaine,5004,Valid,Typical meteorite,L6,78800,Found,Found: the meteorite's fall was not observed,1950,37.316670,-97.250000,"(37.316670, -97.250000)"
Tambo Quemado,23797,Valid,Typical meteorite,"Iron, IIIAB",141000,Found,Found: the meteorite's fall was not observed,1950,-14.666670,-74.500000,"(-14.666670, -74.500000)"
Minnesota (stone),16699,Valid,Typical meteorite,L,1.8,Found,Found: the meteorite's fall was not observed,1950,,,
Sterley,56575,Valid,Typical meteorite,"Pallasite, PMG",1724.8,Found,Found: the meteorite's fall was not observed,1950,34.210000,-101.390000,"(34.210000, -101.390000)"
Guadaloupe County,11430,Valid,Typical meteorite,Iron,20.5,Found,Found: the meteorite's fall was not observed,1950,29.500000,-98.000000,"(29.500000, -98.000000)"
Minnesota (iron),16698,Valid,Typical meteorite,Iron,6.1,Found,Found: the meteorite's fall was not observed,1950,,,
Colorado Springs,5408,Valid,Typical meteorite,Iron,,Found,Found: the meteorite's fall was not observed,1950,38.833330,-104.833330,"(38.833330, -104.833330)"
Yambo,30345,Valid,Typical meteorite,H5,4,Fell,Fell: the meteorite's fall was observed ,1951,1.000000,22.500000,"(1.000000, 22.500000)"
Aarhus,2,Valid,Typical meteorite,H6,720,Fell,Fell: the meteorite's fall was observed ,1951,56.183330,10.233330,"(56.183330, 10.233330)"
Kalaba,12232,Valid,Typical meteorite,H4,950,Fell,Fell: the meteorite's fall was observed ,1951,-6.833330,29.500000,"(-6.833330, 29.500000)"
Dubrovnik,7736,Valid,Typical meteorite,L3-6,1900,Fell,Fell: the meteorite's fall was observed ,1951,42.458330,18.441670,"(42.458330, 18.441670)"
Manych,15409,Valid,Typical meteorite,LL3.4,3555,Fell,Fell: the meteorite's fall was observed ,1951,45.816670,44.633330,"(45.816670, 44.633330)"
